symbol,price
MITHBNB,0.0000441
BCHABCBTC,0.02933
BCHSVBTC,0.011179
BCHABCUSDT,220.08
BCHSVUSDT,58.9
BNBPAX,495.1
BTCPAX,51529.15
ETHPAX,3904.41
XRPPAX,0.8896
EOSPAX,2.5845
XLMPAX,0.04221
RENBTC,0.00000159
RENBNB,0.004585
BNBTUSD,213.2
XRPTUSD,0.5284
EOSTUSD,4.1159
XLMTUSD,0.06833
BNBUSDC,212.9
BTCUSDC,27700.93
ETHUSDC,1645.18
XRPUSDC,0.4409
EOSUSDC,1.153
XLMUSDC,0.0497
USDCUSDT,0.9999
ADATUSD,0.2583
TRXTUSD,0.05986
NEOTUSD,11.818
TRXXRP,0.16927
XZCXRP,20.792
PAXTUSD,0.9995
USDCTUSD,1
USDCPAX,1.0002
LINKUSDT,7.686
LINKTUSD,28.87
LINKPAX,3.9834
LINKUSDC,7.779
WAVESUSDT,1.532
WAVESTUSD,1.072
WAVESPAX,0.8029
WAVESUSDC,1.2036
BCHABCTUSD,220.2
BCHABCPAX,221.2
BCHABCUSDC,220.3
BCHSVTUSD,59.17
BCHSVPAX,58.18
BCHSVUSDC,57.5
LTCTUSD,64.73
LTCPAX,171.13
LTCUSDC,53.22
TRXPAX,0.07661
TRXUSDC,0.05982
BTTBTC,0.00000005
BTTBNB,0.00000573
BTTUSDT,0.002777
BNBUSDS,22.2788
BTCUSDS,9604.59
USDSUSDT,0.9968
USDSPAX,1.0002
USDSTUSD,1
USDSUSDC,1
BTTPAX,0.0003866
BTTTUSD,0.00277
BTTUSDC,0.002776
ONGBNB,0.00545
ONGBTC,0.00000798
ONGUSDT,0.2211
HOTBNB,0.00000862
HOTUSDT,0.001015
ZILUSDT,0.01679
ZRXBNB,0.01045
ZRXUSDT,0.1823
FETBNB,0.001028
FETBTC,0.0000079
FETUSDT,0.219
BATUSDT,0.1741
XMRBNB,0.7048
XMRUSDT,150
ZECBNB,0.1026
ZECUSDT,27.23
ZECPAX,42.1
ZECTUSD,51.48
ZECUSDC,55.8
IOSTUSDT,0.00705
CELRBNB,0.00005294
CELRBTC,0.00000045
CELRUSDT,0.01246
ADAPAX,0.03257
ADAUSDC,0.4352
NEOPAX,11.122
NEOUSDC,28.27
DASHBNB,0.1183
DASHUSDT,27.07
NANOUSDT,2.224
OMGBNB,0.03938
OMGUSDT,0.464
THETAUSDT,0.618
ENJUSDT,0.2259
MITHUSDT,0.00345
MATICBNB,0.00264
MATICBTC,0.0000203
MATICUSDT,0.5625
ATOMBNB,0.0327
ATOMBTC,0.0002514
ATOMUSDT,6.963
ATOMUSDC,12.912
ATOMPAX,3.178
ATOMTUSD,2.598
ETCUSDC,4.71
ETCPAX,4.838
ETCTUSD,3.795
BATUSDC,0.6313
BATPAX,0.2556
BATTUSD,0.2222
PHBBNB,0.000137
PHBBTC,0.00002245
PHBUSDC,0.00587
PHBTUSD,0.229
PHBPAX,0.00639
TFUELBNB,0.0001259
TFUELBTC,0.00000119
TFUELUSDT,0.03293
TFUELUSDC,0.003565
TFUELTUSD,0.003077
TFUELPAX,0.003487
ONEBNB,0.00004434
ONEBTC,0.00000035
ONEUSDT,0.00946
ONETUSD,0.00472
ONEPAX,0.00496
ONEUSDC,0.0052
FTMBNB,0.0009402
FTMBTC,0.00000723
FTMUSDT,0.2004
FTMTUSD,0.01095
FTMPAX,0.01028
FTMUSDC,0.01107
BTCBBTC,1
BCPTTUSD,0.02606
BCPTPAX,0.02761
